cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
1-Eicosenoyl-2-stearidonoyl-3-eicosadienoyl-glycerol,933.5,78.9,67,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,932.783,932.783,21.8
1-Eicosenoyl-2-stearidonoyl-3-homo-g-linolenoyl-glycerol,931.5,78.9,67,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,930.768,930.768,21.1
1-Eicosenoyl-2-stearidonoyl-3-arachidonoyl-glycerol,929.4,78.9,67,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,928.752,928.752,20.4
"TG(20:1(11Z)/18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))",961.5,78.9,69,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,960.815,960.815,22.9
1-Eicosenoyl-2-stearidonoyl-3-adrenoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-stearidonoyl-3-osbondoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,21
1-Eicosenoyl-2-stearidonoyl-3-eicsoatetraenoyl-glycerol,929.4,78.9,67,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,928.752,928.752,20.4
1-Eicosenoyl-2-stearidonoyl-3-eicosapentaenoyl-glycerol,927.4,78.9,67,0,6,50,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,926.736,926.736,19.8
1-Eicosenoyl-2-stearidonoyl-3-docosapentaenoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,20.8
1-Eicosenoyl-2-stearidonoyl-3-docosahexaenoyl-glycerol,953.5,78.9,69,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,952.752,952.752,20.3
1-Eicosenoyl-2-stearidonoyl-3-Stearyl-glycerol,895.5,61.8,64,0,5,53,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,894.804,894.804,22.7
1-Eicosenoyl-2-eicsoatetraenoyl-3-eicosenoyl-glycerol,963.5,78.9,69,0,6,56,CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,962.83,962.83,23.6
1-Eicosenoyl-2-eicsoatetraenoyl-3-meadoyl-glycerol,959.5,78.9,69,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,958.799,958.799,22.2
1-Eicosenoyl-2-eicsoatetraenoyl-3-erucoyl-glycerol,991.6,78.9,71,0,6,58,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,990.862,990.862,24.7
1-Eicosenoyl-2-eicsoatetraenoyl-3-nervonoyl-glycerol,1019.6,78.9,73,0,6,60,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,1018.89,1018.89,25.8
1-Eicosenoyl-2-eicsoatetraenoyl-3-linoleoyl-glycerol,933.5,78.9,67,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,932.783,932.783,21.8
1-Eicosenoyl-2-eicsoatetraenoyl-3-g-linolenoyl-glycerol,931.5,78.9,67,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,930.768,930.768,21.1
1-Eicosenoyl-2-eicsoatetraenoyl-3-eicosadienoyl-glycerol,961.5,78.9,69,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,960.815,960.815,22.9
1-Eicosenoyl-2-eicsoatetraenoyl-3-homo-g-linolenoyl-glycerol,959.5,78.9,69,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,958.799,958.799,22.2
1-Eicosenoyl-2-eicsoatetraenoyl-3-arachidonoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-eicsoatetraenoyl-3-docosadienoyl-glycerol,989.6,78.9,71,0,6,57,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,988.846,988.846,24
1-Eicosenoyl-2-eicsoatetraenoyl-3-adrenoyl-glycerol,985.5,78.9,71,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,984.815,984.815,22.6
1-Eicosenoyl-2-eicsoatetraenoyl-3-osbondoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,22.1
1-Eicosenoyl-2-eicsoatetraenoyl-3-a-linolenoyl-glycerol,931.5,78.9,67,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,930.768,930.768,21.1
1-Eicosenoyl-2-eicsoatetraenoyl-3-stearidonoyl-glycerol,929.4,78.9,67,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,928.752,928.752,20.4
1-Eicosenoyl-2-eicsoatetraenoyl-3-eicsoatetraenoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-eicsoatetraenoyl-3-eicosapentaenoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,20.8
1-Eicosenoyl-2-eicsoatetraenoyl-3-docosapentaenoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,21.9
1-Eicosenoyl-2-eicsoatetraenoyl-3-docosahexaenoyl-glycerol,981.5,78.9,71,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,980.783,980.783,21.4
1-Eicosenoyl-2-eicsoatetraenoyl-3-Stearyl-glycerol,923.5,61.8,66,0,5,55,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,922.835,922.835,23.8
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))",961.5,78.9,69,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,960.815,960.815,22.9
1-Eicosenoyl-2-eicosapentaenoyl-3-meadoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))",989.6,78.9,71,0,6,57,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,988.846,988.846,24
1-Eicosenoyl-2-eicosapentaenoyl-3-nervonoyl-glycerol,1017.6,78.9,73,0,6,59,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1016.88,1016.88,25.1
1-Eicosenoyl-2-eicosapentaenoyl-3-linoleoyl-glycerol,931.5,78.9,67,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,930.768,930.768,21.1
1-Eicosenoyl-2-eicosapentaenoyl-3-g-linolenoyl-glycerol,929.4,78.9,67,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,928.752,928.752,20.4
1-Eicosenoyl-2-eicosapentaenoyl-3-eicosadienoyl-glycerol,959.5,78.9,69,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,958.799,958.799,22.2
1-Eicosenoyl-2-eicosapentaenoyl-3-homo-g-linolenoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-eicosapentaenoyl-3-arachidonoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,20.8
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:2(13Z,16Z))",987.6,78.9,71,0,6,56,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,986.83,986.83,23.3
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))",983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,21.9
1-Eicosenoyl-2-eicosapentaenoyl-3-osbondoyl-glycerol,981.5,78.9,71,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,980.783,980.783,21.4
1-Eicosenoyl-2-eicosapentaenoyl-3-a-linolenoyl-glycerol,929.4,78.9,67,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,928.752,928.752,20.4
1-Eicosenoyl-2-eicosapentaenoyl-3-stearidonoyl-glycerol,927.4,78.9,67,0,6,50,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,926.736,926.736,19.8
1-Eicosenoyl-2-eicosapentaenoyl-3-eicsoatetraenoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,20.8
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))",953.5,78.9,69,0,6,51,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,952.752,952.752,20.2
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))",981.5,78.9,71,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,980.783,980.783,21.2
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",979.5,78.9,71,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,978.768,978.768,20.7
1-Eicosenoyl-2-eicosapentaenoyl-3-Stearyl-glycerol,921.5,61.8,66,0,5,54,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,920.82,920.82,23.1
1-Eicosenoyl-2-docosapentaenoyl-3-eicosenoyl-glycerol,989.6,78.9,71,0,6,57,CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,988.846,988.846,24
1-Eicosenoyl-2-docosapentaenoyl-3-meadoyl-glycerol,985.5,78.9,71,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,984.815,984.815,22.6
1-Eicosenoyl-2-docosapentaenoyl-3-erucoyl-glycerol,1017.6,78.9,73,0,6,59,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1016.88,1016.88,25.1
1-Eicosenoyl-2-docosapentaenoyl-3-nervonoyl-glycerol,1045.7,78.9,75,0,6,61,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1044.91,1044.91,26.1
1-Eicosenoyl-2-docosapentaenoyl-3-linoleoyl-glycerol,959.5,78.9,69,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,958.799,958.799,22.2
1-Eicosenoyl-2-docosapentaenoyl-3-g-linolenoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-docosapentaenoyl-3-eicosadienoyl-glycerol,987.6,78.9,71,0,6,56,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,986.83,986.83,23.3
1-Eicosenoyl-2-docosapentaenoyl-3-homo-g-linolenoyl-glycerol,985.5,78.9,71,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,984.815,984.815,22.6
1-Eicosenoyl-2-docosapentaenoyl-3-arachidonoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,21.9
1-Eicosenoyl-2-docosapentaenoyl-3-docosadienoyl-glycerol,1015.6,78.9,73,0,6,58,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1014.86,1014.86,24.4
1-Eicosenoyl-2-docosapentaenoyl-3-adrenoyl-glycerol,1011.6,78.9,73,0,6,56,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1010.83,1010.83,23
1-Eicosenoyl-2-docosapentaenoyl-3-osbondoyl-glycerol,1009.6,78.9,73,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1008.81,1008.81,22.5
1-Eicosenoyl-2-docosapentaenoyl-3-a-linolenoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.5
1-Eicosenoyl-2-docosapentaenoyl-3-stearidonoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,20.8
1-Eicosenoyl-2-docosapentaenoyl-3-eicsoatetraenoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,21.9
1-Eicosenoyl-2-docosapentaenoyl-3-eicosapentaenoyl-glycerol,981.5,78.9,71,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,980.783,980.783,21.2
"TG(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))",1009.6,78.9,73,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1008.81,1008.81,22.3
"TG(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1007.6,78.9,73,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1006.8,1006.8,21.8
1-Eicosenoyl-2-docosapentaenoyl-3-Stearyl-glycerol,949.6,61.8,68,0,5,56,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,948.851,948.851,24.2
1-Eicosenoyl-2-docosahexaenoyl-3-eicosenoyl-glycerol,987.6,78.9,71,0,6,56,CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,986.83,986.83,23.5
1-Eicosenoyl-2-docosahexaenoyl-3-meadoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,22.1
1-Eicosenoyl-2-docosahexaenoyl-3-erucoyl-glycerol,1015.6,78.9,73,0,6,58,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1014.86,1014.86,24.6
1-Eicosenoyl-2-docosahexaenoyl-3-nervonoyl-glycerol,1043.7,78.9,75,0,6,60,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1042.89,1042.89,25.6
1-Eicosenoyl-2-docosahexaenoyl-3-linoleoyl-glycerol,957.5,78.9,69,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,956.783,956.783,21.7
1-Eicosenoyl-2-docosahexaenoyl-3-g-linolenoyl-glycerol,955.5,78.9,69,0,6,52,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,954.768,954.768,21
1-Eicosenoyl-2-docosahexaenoyl-3-eicosadienoyl-glycerol,985.5,78.9,71,0,6,55,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,984.815,984.815,22.8
1-Eicosenoyl-2-docosahexaenoyl-3-homo-g-linolenoyl-glycerol,983.5,78.9,71,0,6,54,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,982.799,982.799,22.1
1-Eicosenoyl-2-docosahexaenoyl-3-arachidonoyl-glycerol,981.5,78.9,71,0,6,53,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,980.783,980.783,21.4
